epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1313.94,1.09445,0.52329,0.9385,0.99496,1,0.995,0.58776,1.42833,0.56069,0.98869,0.00128324,0.00128324,0.00128324
183,1321.41,0.97508,0.5125,0.90716,0.99444,1,0.995,0.62018,1.42802,0.5685,0.99456,0.00127928,0.00127928,0.00127928
184,1327.45,1.0473,0.53025,0.91671,0.99524,1,0.995,0.58866,1.46606,0.56181,1.00917,0.00127532,0.00127532,0.00127532
185,1332.97,1.01585,0.53292,0.92881,0.99524,1,0.995,0.56403,1.47864,0.55768,1.01341,0.00127136,0.00127136,0.00127136
186,1338.52,1.01787,0.52709,0.90441,0.99529,1,0.995,0.60389,1.45975,0.53011,0.99811,0.0012674,0.0012674,0.0012674
187,1344.97,1.07885,0.49767,0.92772,0.99525,1,0.995,0.63009,1.3619,0.50614,0.96946,0.00126344,0.00126344,0.00126344
188,1351.09,1.07858,0.51916,0.93101,0.99531,1,0.995,0.65298,1.36631,0.52218,0.97746,0.00125948,0.00125948,0.00125948
189,1356.55,1.09198,0.52148,0.93699,0.99534,1,0.995,0.65222,1.38479,0.53163,0.98564,0.00125552,0.00125552,0.00125552
190,1363.4,1.0969,0.55086,0.93939,0.99544,1,0.995,0.62682,1.42372,0.51851,1.00559,0.00125156,0.00125156,0.00125156
191,1369.35,1.10996,0.55553,0.89152,0.99515,1,0.995,0.63146,1.36872,0.54288,0.98909,0.0012476,0.0012476,0.0012476
